,free_bikes,postCode,rating,category,price,street,price_c,category_c,street_c,postCode_c
13575,4,M5A3C4,4.0,FastFood,Inexpensive, Trinity Street,1,7,33,18
13605,4,M5A3C4,4.0,Cafe,Moderately, Trinity Street,2,4,33,18
13702,4,M5A3C4,4.0,Europe,Moderately, Trinity Street,2,5,33,18
13703,4,M5A3C4,3.5,American,Expensive, Tank House Lane,0,1,32,18
13704,4,M5A3C4,3.5,Europe,Expensive, Tank House Lane,0,5,32,18
13705,4,M5A3C4,3.0,FastFood,Expensive, Tank House Lane,0,7,32,18
13706,4,M5A3C4,3.0,Bars,Moderately, Tank House Lane,2,3,32,18
13707,4,M5A3C4,3.5,Asian,Moderately, Gristmill Lane,2,2,19,18
13708,4,M5A3C4,3.5,FastFood,Moderately, Gristmill Lane,2,7,19,18
13709,4,M5A3C4,3.0,Europe,Moderately, Trinity Street,2,5,33,18
13710,4,M5A3C4,4.5,Cafe,Moderately, Gristmill Lane,2,4,19,18
13711,4,M5A3C4,4.5,Cafe,Expensive, Tank House Lane,0,4,32,18
13712,4,M5A3C4,4.0,FastFood,Inexpensive, Trinity Street,1,7,33,18
13742,4,M5A3C4,4.0,Cafe,Moderately, Trinity Street,2,4,33,18
15072,4,M5A3C4,4.0,Europe,Moderately, Trinity Street,2,5,33,18
15073,4,M5A3C4,3.5,American,Expensive, Tank House Lane,0,1,32,18
15074,4,M5A3C4,3.5,Europe,Expensive, Tank House Lane,0,5,32,18
15075,4,M5A3C4,3.0,FastFood,Expensive, Tank House Lane,0,7,32,18
15076,4,M5A3C4,3.0,Bars,Moderately, Tank House Lane,2,3,32,18
15077,4,M5A3C4,3.5,Asian,Moderately, Gristmill Lane,2,2,19,18
15078,4,M5A3C4,3.5,FastFood,Moderately, Gristmill Lane,2,7,19,18
15079,4,M5A3C4,3.0,Europe,Moderately, Trinity Street,2,5,33,18
15080,4,M5A3C4,4.5,Cafe,Moderately, Gristmill Lane,2,4,19,18
15081,4,M5A3C4,4.5,Cafe,Expensive, Tank House Lane,0,4,32,18
15082,4,M5A3C4,4.0,FastFood,Inexpensive, Trinity Street,1,7,33,18
15112,4,M5A3C4,4.0,Cafe,Moderately, Trinity Street,2,4,33,18
15620,4,M5A3C4,4.0,Europe,Moderately, Trinity Street,2,5,33,18
15621,4,M5A3C4,3.5,American,Expensive, Tank House Lane,0,1,32,18
15622,4,M5A3C4,3.5,Europe,Expensive, Tank House Lane,0,5,32,18
15623,4,M5A3C4,3.0,FastFood,Expensive, Tank House Lane,0,7,32,18
15624,4,M5A3C4,3.0,Bars,Moderately, Tank House Lane,2,3,32,18
15625,4,M5A3C4,3.5,Asian,Moderately, Gristmill Lane,2,2,19,18
15626,4,M5A3C4,3.5,FastFood,Moderately, Gristmill Lane,2,7,19,18
15627,4,M5A3C4,3.0,Europe,Moderately, Trinity Street,2,5,33,18
15628,4,M5A3C4,4.5,Cafe,Moderately, Gristmill Lane,2,4,19,18
15629,4,M5A3C4,4.5,Cafe,Expensive, Tank House Lane,0,4,32,18
15630,4,M5A3C4,4.0,FastFood,Inexpensive, Trinity Street,1,7,33,18
15660,4,M5A3C4,4.0,Cafe,Moderately, Trinity Street,2,4,33,18
18771,4,M5A3C4,4.0,Europe,Moderately, Trinity Street,2,5,33,18
18772,4,M5A3C4,3.5,American,Expensive, Tank House Lane,0,1,32,18
18773,4,M5A3C4,3.5,Europe,Expensive, Tank House Lane,0,5,32,18
18774,4,M5A3C4,3.0,FastFood,Expensive, Tank House Lane,0,7,32,18
18775,4,M5A3C4,3.0,Bars,Moderately, Tank House Lane,2,3,32,18
18776,4,M5A3C4,3.5,Asian,Moderately, Gristmill Lane,2,2,19,18
18777,4,M5A3C4,3.5,FastFood,Moderately, Gristmill Lane,2,7,19,18
18778,4,M5A3C4,3.0,Europe,Moderately, Trinity Street,2,5,33,18
18779,4,M5A3C4,4.5,Cafe,Moderately, Gristmill Lane,2,4,19,18
18780,4,M5A3C4,4.5,Cafe,Expensive, Tank House Lane,0,4,32,18
18781,4,M5A3C4,4.0,FastFood,Inexpensive, Trinity Street,1,7,33,18
18811,4,M5A3C4,4.0,Cafe,Moderately, Trinity Street,2,4,33,18
20004,0,M5A3C4,4.0,Europe,Moderately, Trinity Street,2,5,33,18
20005,0,M5A3C4,3.5,American,Expensive, Tank House Lane,0,1,32,18
20006,0,M5A3C4,3.5,Europe,Expensive, Tank House Lane,0,5,32,18
20007,0,M5A3C4,3.0,FastFood,Expensive, Tank House Lane,0,7,32,18
20008,0,M5A3C4,3.0,Bars,Moderately, Tank House Lane,2,3,32,18
20009,0,M5A3C4,3.5,Asian,Moderately, Gristmill Lane,2,2,19,18
20010,0,M5A3C4,3.5,FastFood,Moderately, Gristmill Lane,2,7,19,18
20011,0,M5A3C4,3.0,Europe,Moderately, Trinity Street,2,5,33,18
20012,0,M5A3C4,4.5,Cafe,Moderately, Gristmill Lane,2,4,19,18
20013,0,M5A3C4,4.5,Cafe,Expensive, Tank House Lane,0,4,32,18
20014,0,M5A3C4,4.0,FastFood,Inexpensive, Trinity Street,1,7,33,18
20044,0,M5A3C4,4.0,Cafe,Moderately, Trinity Street,2,4,33,18
20141,0,M5A3C4,4.0,Europe,Moderately, Trinity Street,2,5,33,18
20142,0,M5A3C4,3.5,American,Expensive, Tank House Lane,0,1,32,18
20143,0,M5A3C4,3.5,Europe,Expensive, Tank House Lane,0,5,32,18
20144,0,M5A3C4,3.0,FastFood,Expensive, Tank House Lane,0,7,32,18
20145,0,M5A3C4,3.0,Bars,Moderately, Tank House Lane,2,3,32,18
20146,0,M5A3C4,3.5,Asian,Moderately, Gristmill Lane,2,2,19,18
20147,0,M5A3C4,3.5,FastFood,Moderately, Gristmill Lane,2,7,19,18
20148,0,M5A3C4,3.0,Europe,Moderately, Trinity Street,2,5,33,18
20149,0,M5A3C4,4.5,Cafe,Moderately, Gristmill Lane,2,4,19,18
20150,0,M5A3C4,4.5,Cafe,Expensive, Tank House Lane,0,4,32,18
20151,0,M5A3C4,4.0,FastFood,Inexpensive, Trinity Street,1,7,33,18
20181,0,M5A3C4,4.0,Cafe,Moderately, Trinity Street,2,4,33,18
20278,0,M5A3C4,4.0,Europe,Moderately, Trinity Street,2,5,33,18
20279,0,M5A3C4,3.5,American,Expensive, Tank House Lane,0,1,32,18
20280,0,M5A3C4,3.5,Europe,Expensive, Tank House Lane,0,5,32,18
20281,0,M5A3C4,3.0,FastFood,Expensive, Tank House Lane,0,7,32,18
20282,0,M5A3C4,3.0,Bars,Moderately, Tank House Lane,2,3,32,18
20283,0,M5A3C4,3.5,Asian,Moderately, Gristmill Lane,2,2,19,18
20284,0,M5A3C4,3.5,FastFood,Moderately, Gristmill Lane,2,7,19,18
20285,0,M5A3C4,3.0,Europe,Moderately, Trinity Street,2,5,33,18
20286,0,M5A3C4,4.5,Cafe,Moderately, Gristmill Lane,2,4,19,18
20287,0,M5A3C4,4.5,Cafe,Expensive, Tank House Lane,0,4,32,18
20288,0,M5A3C4,4.0,FastFood,Inexpensive, Trinity Street,1,7,33,18
20318,0,M5A3C4,4.0,Cafe,Moderately, Trinity Street,2,4,33,18
20415,0,M5A3C4,4.0,Europe,Moderately, Trinity Street,2,5,33,18
20416,0,M5A3C4,3.5,American,Expensive, Tank House Lane,0,1,32,18
20417,0,M5A3C4,3.5,Europe,Expensive, Tank House Lane,0,5,32,18
20418,0,M5A3C4,3.0,FastFood,Expensive, Tank House Lane,0,7,32,18
20419,0,M5A3C4,3.0,Bars,Moderately, Tank House Lane,2,3,32,18
20420,0,M5A3C4,3.5,Asian,Moderately, Gristmill Lane,2,2,19,18
20421,0,M5A3C4,3.5,FastFood,Moderately, Gristmill Lane,2,7,19,18
20422,0,M5A3C4,3.0,Europe,Moderately, Trinity Street,2,5,33,18
20423,0,M5A3C4,4.5,Cafe,Moderately, Gristmill Lane,2,4,19,18
20424,0,M5A3C4,4.5,Cafe,Expensive, Tank House Lane,0,4,32,18
20425,0,M5A3C4,4.0,FastFood,Inexpensive, Trinity Street,1,7,33,18
20455,0,M5A3C4,4.0,Cafe,Moderately, Trinity Street,2,4,33,18
20552,0,M5A3C4,4.0,Europe,Moderately, Trinity Street,2,5,33,18
20553,0,M5A3C4,3.5,American,Expensive, Tank House Lane,0,1,32,18
20554,0,M5A3C4,3.5,Europe,Expensive, Tank House Lane,0,5,32,18
20555,0,M5A3C4,3.0,FastFood,Expensive, Tank House Lane,0,7,32,18
20556,0,M5A3C4,3.0,Bars,Moderately, Tank House Lane,2,3,32,18
20557,0,M5A3C4,3.5,Asian,Moderately, Gristmill Lane,2,2,19,18
20558,0,M5A3C4,3.5,FastFood,Moderately, Gristmill Lane,2,7,19,18
20559,0,M5A3C4,3.0,Europe,Moderately, Trinity Street,2,5,33,18
20560,0,M5A3C4,4.5,Cafe,Moderately, Gristmill Lane,2,4,19,18
20561,0,M5A3C4,4.5,Cafe,Expensive, Tank House Lane,0,4,32,18
20562,0,M5A3C4,4.0,FastFood,Inexpensive, Trinity Street,1,7,33,18
20592,0,M5A3C4,4.0,Cafe,Moderately, Trinity Street,2,4,33,18
20689,0,M5A3C4,4.0,Europe,Moderately, Trinity Street,2,5,33,18
20690,0,M5A3C4,3.5,American,Expensive, Tank House Lane,0,1,32,18
20691,0,M5A3C4,3.5,Europe,Expensive, Tank House Lane,0,5,32,18
20692,0,M5A3C4,3.0,FastFood,Expensive, Tank House Lane,0,7,32,18
20693,0,M5A3C4,3.0,Bars,Moderately, Tank House Lane,2,3,32,18
20694,0,M5A3C4,3.5,Asian,Moderately, Gristmill Lane,2,2,19,18
20695,0,M5A3C4,3.5,FastFood,Moderately, Gristmill Lane,2,7,19,18
20696,0,M5A3C4,3.0,Europe,Moderately, Trinity Street,2,5,33,18
20697,0,M5A3C4,4.5,Cafe,Moderately, Gristmill Lane,2,4,19,18
20698,0,M5A3C4,4.5,Cafe,Expensive, Tank House Lane,0,4,32,18
20699,0,M5A3C4,4.0,FastFood,Inexpensive, Trinity Street,1,7,33,18
20729,0,M5A3C4,4.0,Cafe,Moderately, Trinity Street,2,4,33,18
20826,0,M5A3C4,4.0,Europe,Moderately, Trinity Street,2,5,33,18
20827,0,M5A3C4,3.5,American,Expensive, Tank House Lane,0,1,32,18
20828,0,M5A3C4,3.5,Europe,Expensive, Tank House Lane,0,5,32,18
20829,0,M5A3C4,3.0,FastFood,Expensive, Tank House Lane,0,7,32,18
20830,0,M5A3C4,3.0,Bars,Moderately, Tank House Lane,2,3,32,18
20831,0,M5A3C4,3.5,Asian,Moderately, Gristmill Lane,2,2,19,18
20832,0,M5A3C4,3.5,FastFood,Moderately, Gristmill Lane,2,7,19,18
20833,0,M5A3C4,3.0,Europe,Moderately, Trinity Street,2,5,33,18
20834,0,M5A3C4,4.5,Cafe,Moderately, Gristmill Lane,2,4,19,18
20835,0,M5A3C4,4.5,Cafe,Expensive, Tank House Lane,0,4,32,18
20836,0,M5A3C4,4.0,FastFood,Inexpensive, Trinity Street,1,7,33,18
20866,0,M5A3C4,4.0,Cafe,Moderately, Trinity Street,2,4,33,18
20963,0,M5A3C4,4.0,Europe,Moderately, Trinity Street,2,5,33,18
20964,0,M5A3C4,3.5,American,Expensive, Tank House Lane,0,1,32,18
20965,0,M5A3C4,3.5,Europe,Expensive, Tank House Lane,0,5,32,18
20966,0,M5A3C4,3.0,FastFood,Expensive, Tank House Lane,0,7,32,18
20967,0,M5A3C4,3.0,Bars,Moderately, Tank House Lane,2,3,32,18
20968,0,M5A3C4,3.5,Asian,Moderately, Gristmill Lane,2,2,19,18
20969,0,M5A3C4,3.5,FastFood,Moderately, Gristmill Lane,2,7,19,18
20970,0,M5A3C4,3.0,Europe,Moderately, Trinity Street,2,5,33,18
20971,0,M5A3C4,4.5,Cafe,Moderately, Gristmill Lane,2,4,19,18
20972,0,M5A3C4,4.5,Cafe,Expensive, Tank House Lane,0,4,32,18
20973,0,M5A3C4,4.0,FastFood,Inexpensive, Trinity Street,1,7,33,18
21003,0,M5A3C4,4.0,Cafe,Moderately, Trinity Street,2,4,33,18
21100,0,M5A3C4,4.0,Europe,Moderately, Trinity Street,2,5,33,18
21101,0,M5A3C4,3.5,American,Expensive, Tank House Lane,0,1,32,18
21102,0,M5A3C4,3.5,Europe,Expensive, Tank House Lane,0,5,32,18
21103,0,M5A3C4,3.0,FastFood,Expensive, Tank House Lane,0,7,32,18
21104,0,M5A3C4,3.0,Bars,Moderately, Tank House Lane,2,3,32,18
21105,0,M5A3C4,3.5,Asian,Moderately, Gristmill Lane,2,2,19,18
21106,0,M5A3C4,3.5,FastFood,Moderately, Gristmill Lane,2,7,19,18
21107,0,M5A3C4,3.0,Europe,Moderately, Trinity Street,2,5,33,18
21108,0,M5A3C4,4.5,Cafe,Moderately, Gristmill Lane,2,4,19,18
21109,0,M5A3C4,4.5,Cafe,Expensive, Tank House Lane,0,4,32,18
21110,0,M5A3C4,4.0,FastFood,Inexpensive, Trinity Street,1,7,33,18
21140,0,M5A3C4,4.0,Cafe,Moderately, Trinity Street,2,4,33,18
21237,0,M5A3C4,4.0,Europe,Moderately, Trinity Street,2,5,33,18
21238,0,M5A3C4,3.5,American,Expensive, Tank House Lane,0,1,32,18
21239,0,M5A3C4,3.5,Europe,Expensive, Tank House Lane,0,5,32,18
21240,0,M5A3C4,3.0,FastFood,Expensive, Tank House Lane,0,7,32,18
21241,0,M5A3C4,3.0,Bars,Moderately, Tank House Lane,2,3,32,18
21242,0,M5A3C4,3.5,Asian,Moderately, Gristmill Lane,2,2,19,18
21243,0,M5A3C4,3.5,FastFood,Moderately, Gristmill Lane,2,7,19,18
21244,0,M5A3C4,3.0,Europe,Moderately, Trinity Street,2,5,33,18
21245,0,M5A3C4,4.5,Cafe,Moderately, Gristmill Lane,2,4,19,18
21246,0,M5A3C4,4.5,Cafe,Expensive, Tank House Lane,0,4,32,18
21247,0,M5A3C4,4.0,FastFood,Inexpensive, Trinity Street,1,7,33,18
21277,0,M5A3C4,4.0,Cafe,Moderately, Trinity Street,2,4,33,18
21374,0,M5A3C4,4.0,Europe,Moderately, Trinity Street,2,5,33,18
21375,0,M5A3C4,3.5,American,Expensive, Tank House Lane,0,1,32,18
21376,0,M5A3C4,3.5,Europe,Expensive, Tank House Lane,0,5,32,18
21377,0,M5A3C4,3.0,FastFood,Expensive, Tank House Lane,0,7,32,18
21378,0,M5A3C4,3.0,Bars,Moderately, Tank House Lane,2,3,32,18
21379,0,M5A3C4,3.5,Asian,Moderately, Gristmill Lane,2,2,19,18
21380,0,M5A3C4,3.5,FastFood,Moderately, Gristmill Lane,2,7,19,18
21381,0,M5A3C4,3.0,Europe,Moderately, Trinity Street,2,5,33,18
21382,0,M5A3C4,4.5,Cafe,Moderately, Gristmill Lane,2,4,19,18
21383,0,M5A3C4,4.5,Cafe,Expensive, Tank House Lane,0,4,32,18
21384,0,M5A3C4,4.0,FastFood,Inexpensive, Trinity Street,1,7,33,18
21414,0,M5A3C4,4.0,Cafe,Moderately, Trinity Street,2,4,33,18
21648,0,M5A3C4,4.0,Europe,Moderately, Trinity Street,2,5,33,18
21649,0,M5A3C4,3.5,American,Expensive, Tank House Lane,0,1,32,18
21650,0,M5A3C4,3.5,Europe,Expensive, Tank House Lane,0,5,32,18
21651,0,M5A3C4,3.0,FastFood,Expensive, Tank House Lane,0,7,32,18
21652,0,M5A3C4,3.0,Bars,Moderately, Tank House Lane,2,3,32,18
21653,0,M5A3C4,3.5,Asian,Moderately, Gristmill Lane,2,2,19,18
21654,0,M5A3C4,3.5,FastFood,Moderately, Gristmill Lane,2,7,19,18
21655,0,M5A3C4,3.0,Europe,Moderately, Trinity Street,2,5,33,18
21656,0,M5A3C4,4.5,Cafe,Moderately, Gristmill Lane,2,4,19,18
21657,0,M5A3C4,4.5,Cafe,Expensive, Tank House Lane,0,4,32,18
21658,0,M5A3C4,4.0,FastFood,Inexpensive, Trinity Street,1,7,33,18
21688,0,M5A3C4,4.0,Cafe,Moderately, Trinity Street,2,4,33,18
22333,0,M5A3C4,4.0,Europe,Moderately, Trinity Street,2,5,33,18
22334,0,M5A3C4,3.5,American,Expensive, Tank House Lane,0,1,32,18
22335,0,M5A3C4,3.5,Europe,Expensive, Tank House Lane,0,5,32,18
22336,0,M5A3C4,3.0,FastFood,Expensive, Tank House Lane,0,7,32,18
22337,0,M5A3C4,3.0,Bars,Moderately, Tank House Lane,2,3,32,18
22338,0,M5A3C4,3.5,Asian,Moderately, Gristmill Lane,2,2,19,18
22339,0,M5A3C4,3.5,FastFood,Moderately, Gristmill Lane,2,7,19,18
22340,0,M5A3C4,3.0,Europe,Moderately, Trinity Street,2,5,33,18
22341,0,M5A3C4,4.5,Cafe,Moderately, Gristmill Lane,2,4,19,18
22342,0,M5A3C4,4.5,Cafe,Expensive, Tank House Lane,0,4,32,18
22343,0,M5A3C4,4.0,FastFood,Inexpensive, Trinity Street,1,7,33,18
22373,0,M5A3C4,4.0,Cafe,Moderately, Trinity Street,2,4,33,18
22470,0,M5A3C4,4.0,Europe,Moderately, Trinity Street,2,5,33,18
22471,0,M5A3C4,3.5,American,Expensive, Tank House Lane,0,1,32,18
22472,0,M5A3C4,3.5,Europe,Expensive, Tank House Lane,0,5,32,18
22473,0,M5A3C4,3.0,FastFood,Expensive, Tank House Lane,0,7,32,18
22474,0,M5A3C4,3.0,Bars,Moderately, Tank House Lane,2,3,32,18
22475,0,M5A3C4,3.5,Asian,Moderately, Gristmill Lane,2,2,19,18
22476,0,M5A3C4,3.5,FastFood,Moderately, Gristmill Lane,2,7,19,18
22477,0,M5A3C4,3.0,Europe,Moderately, Trinity Street,2,5,33,18
22478,0,M5A3C4,4.5,Cafe,Moderately, Gristmill Lane,2,4,19,18
22479,0,M5A3C4,4.5,Cafe,Expensive, Tank House Lane,0,4,32,18
22480,0,M5A3C4,4.0,FastFood,Inexpensive, Trinity Street,1,7,33,18
22510,0,M5A3C4,4.0,Cafe,Moderately, Trinity Street,2,4,33,18
23840,0,M5A3C4,4.0,Europe,Moderately, Trinity Street,2,5,33,18
23841,0,M5A3C4,3.5,American,Expensive, Tank House Lane,0,1,32,18
23842,0,M5A3C4,3.5,Europe,Expensive, Tank House Lane,0,5,32,18
23843,0,M5A3C4,3.0,FastFood,Expensive, Tank House Lane,0,7,32,18
23844,0,M5A3C4,3.0,Bars,Moderately, Tank House Lane,2,3,32,18
23845,0,M5A3C4,3.5,Asian,Moderately, Gristmill Lane,2,2,19,18
23846,0,M5A3C4,3.5,FastFood,Moderately, Gristmill Lane,2,7,19,18
23847,0,M5A3C4,3.0,Europe,Moderately, Trinity Street,2,5,33,18
23848,0,M5A3C4,4.5,Cafe,Moderately, Gristmill Lane,2,4,19,18
23849,0,M5A3C4,4.5,Cafe,Expensive, Tank House Lane,0,4,32,18
23850,0,M5A3C4,4.0,FastFood,Inexpensive, Trinity Street,1,7,33,18
23880,0,M5A3C4,4.0,Cafe,Moderately, Trinity Street,2,4,33,18
24388,0,M5A3C4,4.0,Europe,Moderately, Trinity Street,2,5,33,18
24389,0,M5A3C4,3.5,American,Expensive, Tank House Lane,0,1,32,18
24390,0,M5A3C4,3.5,Europe,Expensive, Tank House Lane,0,5,32,18
24391,0,M5A3C4,3.0,FastFood,Expensive, Tank House Lane,0,7,32,18
24392,0,M5A3C4,3.0,Bars,Moderately, Tank House Lane,2,3,32,18
24393,0,M5A3C4,3.5,Asian,Moderately, Gristmill Lane,2,2,19,18
24394,0,M5A3C4,3.5,FastFood,Moderately, Gristmill Lane,2,7,19,18
24395,0,M5A3C4,3.0,Europe,Moderately, Trinity Street,2,5,33,18
24396,0,M5A3C4,4.5,Cafe,Moderately, Gristmill Lane,2,4,19,18
24397,0,M5A3C4,4.5,Cafe,Expensive, Tank House Lane,0,4,32,18
24398,0,M5A3C4,4.0,FastFood,Inexpensive, Trinity Street,1,7,33,18
24428,0,M5A3C4,4.0,Cafe,Moderately, Trinity Street,2,4,33,18
27539,0,M5A3C4,4.0,Europe,Moderately, Trinity Street,2,5,33,18
27540,0,M5A3C4,3.5,American,Expensive, Tank House Lane,0,1,32,18
27541,0,M5A3C4,3.5,Europe,Expensive, Tank House Lane,0,5,32,18
27542,0,M5A3C4,3.0,FastFood,Expensive, Tank House Lane,0,7,32,18
27543,0,M5A3C4,3.0,Bars,Moderately, Tank House Lane,2,3,32,18
27544,0,M5A3C4,3.5,Asian,Moderately, Gristmill Lane,2,2,19,18
27545,0,M5A3C4,3.5,FastFood,Moderately, Gristmill Lane,2,7,19,18
27546,0,M5A3C4,3.0,Europe,Moderately, Trinity Street,2,5,33,18
27547,0,M5A3C4,4.5,Cafe,Moderately, Gristmill Lane,2,4,19,18
27548,0,M5A3C4,4.5,Cafe,Expensive, Tank House Lane,0,4,32,18
27549,0,M5A3C4,4.0,FastFood,Inexpensive, Trinity Street,1,7,33,18
27579,0,M5A3C4,4.0,Cafe,Moderately, Trinity Street,2,4,33,18
28772,2,M5A3C4,4.0,Europe,Moderately, Trinity Street,2,5,33,18
28773,2,M5A3C4,3.5,American,Expensive, Tank House Lane,0,1,32,18
28774,2,M5A3C4,3.5,Europe,Expensive, Tank House Lane,0,5,32,18
28775,2,M5A3C4,3.0,FastFood,Expensive, Tank House Lane,0,7,32,18
28776,2,M5A3C4,3.0,Bars,Moderately, Tank House Lane,2,3,32,18
28777,2,M5A3C4,3.5,Asian,Moderately, Gristmill Lane,2,2,19,18
28778,2,M5A3C4,3.5,FastFood,Moderately, Gristmill Lane,2,7,19,18
28779,2,M5A3C4,3.0,Europe,Moderately, Trinity Street,2,5,33,18
28780,2,M5A3C4,4.5,Cafe,Moderately, Gristmill Lane,2,4,19,18
28781,2,M5A3C4,4.5,Cafe,Expensive, Tank House Lane,0,4,32,18
28782,2,M5A3C4,4.0,FastFood,Inexpensive, Trinity Street,1,7,33,18
28812,2,M5A3C4,4.0,Cafe,Moderately, Trinity Street,2,4,33,18
28909,2,M5A3C4,4.0,Europe,Moderately, Trinity Street,2,5,33,18
28910,2,M5A3C4,3.5,American,Expensive, Tank House Lane,0,1,32,18
28911,2,M5A3C4,3.5,Europe,Expensive, Tank House Lane,0,5,32,18
28912,2,M5A3C4,3.0,FastFood,Expensive, Tank House Lane,0,7,32,18
28913,2,M5A3C4,3.0,Bars,Moderately, Tank House Lane,2,3,32,18
28914,2,M5A3C4,3.5,Asian,Moderately, Gristmill Lane,2,2,19,18
28915,2,M5A3C4,3.5,FastFood,Moderately, Gristmill Lane,2,7,19,18
28916,2,M5A3C4,3.0,Europe,Moderately, Trinity Street,2,5,33,18
28917,2,M5A3C4,4.5,Cafe,Moderately, Gristmill Lane,2,4,19,18
28918,2,M5A3C4,4.5,Cafe,Expensive, Tank House Lane,0,4,32,18
28919,2,M5A3C4,4.0,FastFood,Inexpensive, Trinity Street,1,7,33,18
28949,2,M5A3C4,4.0,Cafe,Moderately, Trinity Street,2,4,33,18
29046,2,M5A3C4,4.0,Europe,Moderately, Trinity Street,2,5,33,18
29047,2,M5A3C4,3.5,American,Expensive, Tank House Lane,0,1,32,18
29048,2,M5A3C4,3.5,Europe,Expensive, Tank House Lane,0,5,32,18
29049,2,M5A3C4,3.0,FastFood,Expensive, Tank House Lane,0,7,32,18
29050,2,M5A3C4,3.0,Bars,Moderately, Tank House Lane,2,3,32,18
29051,2,M5A3C4,3.5,Asian,Moderately, Gristmill Lane,2,2,19,18
29052,2,M5A3C4,3.5,FastFood,Moderately, Gristmill Lane,2,7,19,18
29053,2,M5A3C4,3.0,Europe,Moderately, Trinity Street,2,5,33,18
29054,2,M5A3C4,4.5,Cafe,Moderately, Gristmill Lane,2,4,19,18
29055,2,M5A3C4,4.5,Cafe,Expensive, Tank House Lane,0,4,32,18
29056,2,M5A3C4,4.0,FastFood,Inexpensive, Trinity Street,1,7,33,18
29086,2,M5A3C4,4.0,Cafe,Moderately, Trinity Street,2,4,33,18
29183,2,M5A3C4,4.0,Europe,Moderately, Trinity Street,2,5,33,18
29184,2,M5A3C4,3.5,American,Expensive, Tank House Lane,0,1,32,18
29185,2,M5A3C4,3.5,Europe,Expensive, Tank House Lane,0,5,32,18
29186,2,M5A3C4,3.0,FastFood,Expensive, Tank House Lane,0,7,32,18
29187,2,M5A3C4,3.0,Bars,Moderately, Tank House Lane,2,3,32,18
29188,2,M5A3C4,3.5,Asian,Moderately, Gristmill Lane,2,2,19,18
29189,2,M5A3C4,3.5,FastFood,Moderately, Gristmill Lane,2,7,19,18
29190,2,M5A3C4,3.0,Europe,Moderately, Trinity Street,2,5,33,18
29191,2,M5A3C4,4.5,Cafe,Moderately, Gristmill Lane,2,4,19,18
29192,2,M5A3C4,4.5,Cafe,Expensive, Tank House Lane,0,4,32,18
29193,2,M5A3C4,4.0,FastFood,Inexpensive, Trinity Street,1,7,33,18
29223,2,M5A3C4,4.0,Cafe,Moderately, Trinity Street,2,4,33,18
29320,2,M5A3C4,4.0,Europe,Moderately, Trinity Street,2,5,33,18
29321,2,M5A3C4,3.5,American,Expensive, Tank House Lane,0,1,32,18
29322,2,M5A3C4,3.5,Europe,Expensive, Tank House Lane,0,5,32,18
29323,2,M5A3C4,3.0,FastFood,Expensive, Tank House Lane,0,7,32,18
29324,2,M5A3C4,3.0,Bars,Moderately, Tank House Lane,2,3,32,18
29325,2,M5A3C4,3.5,Asian,Moderately, Gristmill Lane,2,2,19,18
29326,2,M5A3C4,3.5,FastFood,Moderately, Gristmill Lane,2,7,19,18
29327,2,M5A3C4,3.0,Europe,Moderately, Trinity Street,2,5,33,18
29328,2,M5A3C4,4.5,Cafe,Moderately, Gristmill Lane,2,4,19,18
29329,2,M5A3C4,4.5,Cafe,Expensive, Tank House Lane,0,4,32,18
29330,2,M5A3C4,4.0,FastFood,Inexpensive, Trinity Street,1,7,33,18
29360,2,M5A3C4,4.0,Cafe,Moderately, Trinity Street,2,4,33,18
29457,2,M5A3C4,4.0,Europe,Moderately, Trinity Street,2,5,33,18
29458,2,M5A3C4,3.5,American,Expensive, Tank House Lane,0,1,32,18
29459,2,M5A3C4,3.5,Europe,Expensive, Tank House Lane,0,5,32,18
29460,2,M5A3C4,3.0,FastFood,Expensive, Tank House Lane,0,7,32,18
29461,2,M5A3C4,3.0,Bars,Moderately, Tank House Lane,2,3,32,18
29462,2,M5A3C4,3.5,Asian,Moderately, Gristmill Lane,2,2,19,18
29463,2,M5A3C4,3.5,FastFood,Moderately, Gristmill Lane,2,7,19,18
29464,2,M5A3C4,3.0,Europe,Moderately, Trinity Street,2,5,33,18
29465,2,M5A3C4,4.5,Cafe,Moderately, Gristmill Lane,2,4,19,18
29466,2,M5A3C4,4.5,Cafe,Expensive, Tank House Lane,0,4,32,18
29467,2,M5A3C4,4.0,FastFood,Inexpensive, Trinity Street,1,7,33,18
29497,2,M5A3C4,4.0,Cafe,Moderately, Trinity Street,2,4,33,18
29594,2,M5A3C4,4.0,Europe,Moderately, Trinity Street,2,5,33,18
29595,2,M5A3C4,3.5,American,Expensive, Tank House Lane,0,1,32,18
29596,2,M5A3C4,3.5,Europe,Expensive, Tank House Lane,0,5,32,18
29597,2,M5A3C4,3.0,FastFood,Expensive, Tank House Lane,0,7,32,18
29598,2,M5A3C4,3.0,Bars,Moderately, Tank House Lane,2,3,32,18
29599,2,M5A3C4,3.5,Asian,Moderately, Gristmill Lane,2,2,19,18
29600,2,M5A3C4,3.5,FastFood,Moderately, Gristmill Lane,2,7,19,18
29601,2,M5A3C4,3.0,Europe,Moderately, Trinity Street,2,5,33,18
29602,2,M5A3C4,4.5,Cafe,Moderately, Gristmill Lane,2,4,19,18
29603,2,M5A3C4,4.5,Cafe,Expensive, Tank House Lane,0,4,32,18
29604,2,M5A3C4,4.0,FastFood,Inexpensive, Trinity Street,1,7,33,18
