,POI,latitude,longitude,address,city,postCode
1236,Bakery,43.637396,-79.422826,"8 Pardee Ave (Liberty St), Toronto ON M6K 3H5",Toronto,M6K 3H5
1237,Bar,43.632621,-79.423651,"15 Saskatchewan Rd, Toronto ON M6K 3C3",Toronto,M6K 3C3
1238,Soccer Field,43.633272,-79.418568,"170 Princes' Blvd (at Ontario Dr), Toronto ON M6K 3C3",Toronto,M6K 3C3
1239,Dining and Drinking,43.63779,-79.424338,"70 Fraser Ave (at Liberty St.), Toronto ON M6K 3E1",Toronto,M6K 3E1
1240,Office Building,43.632076,-79.42805,"30 British Columbia Rd, Toronto ON M6K 3C3",Toronto,M6K 3C3
1241,Soccer Field,43.633272,-79.418568,"170 Princes' Blvd (at Ontario Dr), Toronto ON M6K 3C3",Toronto,M6K 3C3
1242,Lounge,43.629532,-79.415213,"909 Lake Shore Blvd W (at Ontario Place), Toronto ON M6K 3L3",Toronto,M6K 3L3
1243,Night Market,43.630926,-79.422258,"955 Lake Shore Blvd W, Toronto ON M6K 3B9",Toronto,M6K 3B9
1244,Poutine Restaurant,43.633062,-79.419142,"170 Princes' Blvd (at BMO Field), Toronto ON M6K 3C3",Toronto,M6K 3C3
1245,Music Venue,43.628476,-79.420464,"955 Lake Shore Blvd W (Ontario Place), Toronto ON M6K 3B9",Toronto,M6K 3B9
1246,Amusement Park,43.628474,-79.421258,"955 Lake Shore Blvd W (Ontario Place), Toronto ON M6K 3B9",Toronto,M6K 3B9
1247,Wine Bar,43.662222,-79.423387,"841 Bloor St W (Shaw), Toronto ON M6G 1M3",Toronto,M6G 1M3
1248,Pub,43.662521,-79.423902,"838 Bloor St W (at Shaw St.), Toronto ON M6G 1M2",Toronto,M6G 1M2
1249,Cocktail Bar,43.66259,-79.422183,"815 Bloor St W (at Crawford St), Toronto ON M6G 1M1",Toronto,M6G 1M1
1250,Indian Restaurant,43.663179,-79.42181,"796 Bloor St W (at Crawford St), Toronto ON M6G 1L7",Toronto,M6G 1L7
1251,Butcher,43.662168,-79.424126,"857A Bloor St W (at Roxton Rd), Toronto ON M6G 1M3",Toronto,M6G 1M3
1252,French Restaurant,43.662323,-79.425086,"872 Bloor St W, Toronto ON M6G 1M5",Toronto,M6G 1M5
1253,Café,43.662082,-79.424533,"859 Bloor St W (at Carling Ave), Toronto ON M6G 1M4",Toronto,M6G 1M4
1254,Indian Restaurant,43.663179,-79.42181,"796 Bloor St W, Toronto ON M6G 1L7",Toronto,M6G 1L7
1255,Cocktail Bar,43.662264,-79.425123,"878 Bloor St W (at Ossington Ave), Toronto ON M6G 1M5",Toronto,M6G 1M5
1256,Bakery,43.661944,-79.424885,"873 Bloor St W (at Roxton Rd), Toronto ON M6G 1M4",Toronto,M6G 1M4
1257,Whisky Bar,43.654287,-79.423659,"856 College St (btwn Ossington Ave and Concord Ave), Toronto ON M6H 1A2",Toronto,M6H 1A2
1258,Portuguese Restaurant,43.654181,-79.424344,"864 College St (at Ossington), Toronto ON M6H 1A3",Toronto,M6H 1A3
1259,Pizzeria,43.659109,-79.422187,"372 Harbord St (shaw), Toronto ON M6G 1H9",Toronto,M6G 1H9
1260,Diner,43.654614,-79.423011,"450 Ossington Ave (at Ossington), Toronto ON M6G 3T2",Toronto,M6G 3T2
1261,Bookstore,43.649762,-79.431818,"1490 Dundas St W (Dovervourt Rd), Toronto ON M6K 1T5",Toronto,M6K 1T5
1262,Cocktail Bar,43.654672,-79.420682,"797 College St, Toronto ON M6G 1C7",Toronto,M6G 1C7
1263,Restaurant,43.654702,-79.421809,"810 College St, Toronto ON M6G 1C8",Toronto,M6G 1C8
1264,Arts and Entertainment,43.654874,-79.420995,"784 College St (College & Shaw), Toronto ON M6G 1C6",Toronto,M6G 1C6
1265,Gift Store,43.654959,-79.420588,"776 College St (btw Shaw & Roxton), Toronto ON M6G 1C6",Toronto,M6G 1C6
1266,Ice Cream Parlor,43.682023,-79.419025,"36 Vaughan Rd (btwn Ellsworth Ave. & Hocken Ave.), Toronto ON M6G 2N3",Toronto,M6G 2N3
1267,Café,43.681567,-79.418344,"16A Vaughan Rd, Toronto ON M6G 2N1",Toronto,M6G 2N1
1268,Health Food Store,43.682827,-79.41878,"513 St Clair Ave W (Bathurst), Toronto ON M6C 1A1",Toronto,M6C 1A1
1269,Bakery,43.683251,-79.419128,"518 St Clair Ave W (Bathurst), Toronto ON M6C 1A2",Toronto,M6C 1A2
1270,Thai Restaurant,43.682465,-79.419891,"62 Vaughan Rd (St. Clair Ave), Toronto ON M6G 2N4",Toronto,M6G 2N4
1271,Discount Store,43.681966,-79.418268,"21 Vaughan Rd (btwn Ellsworth & St. Clair), Toronto ON M6G 2N2",Toronto,M6G 2N2
1272,Drugstore,43.682734,-79.41928,"523 St Clair Ave W, Toronto ON M6C 1A1",Toronto,M6C 1A1
1273,Dessert Shop,43.679793,-79.417265,"1360 Bathurst St, Toronto ON M5R 3H7",Toronto,M5R 3H7
1274,Library,43.682183,-79.417601,"1431 Bathurst St (at Melgund Rd.), Toronto ON M5R 3J2",Toronto,M5R 3J2
1275,Church,43.681078,-79.418126,"2 Vaughan Rd, Toronto ON M6G 2N1",Toronto,M6G 2N1
1276,Bakery,43.683251,-79.419128,"518 St Clair Ave W (Bathurst), Toronto ON M6C 1A2",Toronto,M6C 1A2
1277,Health Food Store,43.682827,-79.41878,"513 St Clair Ave W (Bathurst), Toronto ON M6C 1A1",Toronto,M6C 1A1
1278,Ice Cream Parlor,43.682023,-79.419025,"36 Vaughan Rd (btwn Ellsworth Ave. & Hocken Ave.), Toronto ON M6G 2N3",Toronto,M6G 2N3
1279,Drugstore,43.682734,-79.41928,"523 St Clair Ave W, Toronto ON M6C 1A1",Toronto,M6C 1A1
1280,Thai Restaurant,43.682465,-79.419891,"62 Vaughan Rd (St. Clair Ave), Toronto ON M6G 2N4",Toronto,M6G 2N4
1281,Deli,43.682899,-79.418557,"507 St Clair Ave W (at Bathurst St.), Toronto ON M6C 1A1",Toronto,M6C 1A1
1282,Café,43.681567,-79.418344,"16A Vaughan Rd, Toronto ON M6G 2N1",Toronto,M6G 2N1
1283,Dining and Drinking,43.68284,-79.418595,"509 Saint Clair Ave W, Toronto ON M6C 1A1",Toronto,M6C 1A1
1284,Medical Center,43.682788,-79.41854,"1466 Bathurst St (St Clair Av W), Toronto ON M5R 3S3",Toronto,M5R 3S3
1285,Drugstore,43.683669,-79.418774,"1243 Bathurst St, Toronto ON M5R 3H3",Toronto,M5R 3H3
1286,Chinese Restaurant,43.673612,-79.282045,"2485 Queen St E (Neville Park), Toronto ON M4E 1H9",Toronto,M4E 1H9
1287,Bistro,43.673788,-79.282728,"2328 Queen St E, Toronto ON M4E 1G9",Toronto,M4E 1G9
1288,Bakery,43.673795,-79.282635,"2345 Queen St E (at Balsam Ave), Toronto ON M4E 1H2",Toronto,M4E 1H2
1289,Pub,43.673341,-79.285043,"2282 Queen St E, Toronto ON M4E 1G6",Toronto,M4E 1G6
1290,Indie Movie Theater,43.672901,-79.287265,"2236 Queen St E (at Beech Ave), Toronto ON M4E 1G2",Toronto,M4E 1G2
1291,Bagel Shop,43.673,-79.286673,"2248 Queen St E, Toronto ON M4E 1G2",Toronto,M4E 1G2
1292,Caterer,43.672921,-79.286988,"2242 Queen St E (Beech Ave), Toronto ON M4E 1G2",Toronto,M4E 1G2
1293,Burger Joint,43.673271,-79.283675,"2459 Queen St E (Munro Park Av), Toronto ON M4E 1H7",Toronto,M4E 1H7
1294,Café,43.669507,-79.303286,"1966 1/2 Queen St E, Toronto ON M4L 1H8",Toronto,M4L 1H8
1295,Playground,43.669225,-79.298612,"2075 Queen St E (btwn Waverly Rd. & Lee Ave.), Toronto ON M4L 1J1",Toronto,M4L 1J1
1296,BBQ Joint,43.669482,-79.302067,"1959 Queen St E (at Kenilworth Ave), Toronto ON M4L 1H7",Toronto,M4L 1H7
1297,Middle Eastern Restaurant,43.668688,-79.305309,"1891 Queen St E (Woodbine), Toronto ON M4L 1H3",Toronto,M4L 1H3
1298,Bakery,43.669758,-79.300567,"1975 Queen St E, Toronto ON M4L 1J1",Toronto,M4L 1J1
1299,Swimming Pool,43.665024,-79.304732,"1867 Lakeshore Blvd E (at Woodbine Av.), Toronto ON M1P 4N7",Toronto,M1P 4N7
1300,Asian Restaurant,43.64956,-79.423043,"2 Lakeview Ave (Dundas), Toronto ON M6J 3B1",Toronto,M6J 3B1
1301,Clothing Store,43.645115,-79.41934,"44 Ossington Ave (Queen Street), Toronto ON M6J 2Y7",Toronto,M6J 2Y7
1302,Dining and Drinking,43.649666,-79.425444,"1282 Dundas St W (Dundas Street West & Dovercourt Road), Toronto ON M6J 1X7",Toronto,M6J 1X7
1303,Vegan and Vegetarian Restaurant,43.64925,-79.424209,"1255 Dundas St W (Dovercourt), Toronto ON M6J 1X6",Toronto,M6J 1X6
1304,Bar,43.649679,-79.425259,"1276 Dundas St W, Toronto ON M6J 1X7",Toronto,M6J 1X7
1305,Italian Restaurant,43.649593,-79.425666,"1288 Dundas St W (Coolmine Rd.), Toronto ON M6J 1X7",Toronto,M6J 1X7
1306,Bakery,43.649254,-79.42262,"1209 Dundas St W (Ossington Ave), Toronto ON M6J 1X3",Toronto,M6J 1X3
1307,Vegan and Vegetarian Restaurant,43.649508,-79.422988,"1214 Dundas St W, Toronto ON M6J 1X5",Toronto,M6J 1X5
1308,Japanese Restaurant,43.649644,-79.426516,"1330 Dundas St W (at Rusholme Rd), Toronto ON M6J 1Y1",Toronto,M6J 1Y1
1309,Noodle Restaurant,43.654509,-79.399009,"356 Spadina Ave, Toronto ON M5T 2G4",Toronto,M5T 2G4
